Mon Dec  7 12:14:23 2020    output.dat

         1226512 function calls (1205812 primitive calls) in 2.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      464    0.004    0.000    0.008    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:669(translated)
      288    0.004    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:2779(nonsingular)
     2286    0.004    0.000    0.004    0.000 {method 'getint' of '_tkinter.tkapp' objects}
      628    0.004    0.000    0.006    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:1074(update_from)
     3572    0.004    0.000    0.014    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\contextlib.py:238(helper)
     2351    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      262    0.004    0.000    0.067    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\backends\backend_agg.py:170(draw_text)
  192/120    0.003    0.000    0.060    0.001 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\offsetbox.py:528(get_extent_offsets)
     1124    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:814(set_size)
     1468    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.affine_transform}
      656    0.003    0.000    0.006    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\ticker.py:577(__call__)
     3751    0.003    0.000    0.181    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\tkinter\__init__.py:2891(itemconfigure)
     3572    0.003    0.000    0.026    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\contextlib.py:108(__enter__)
      359    0.003    0.000    0.007    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:1924(rotate)
     2592    0.003    0.000    0.029    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\core\fromnumeric.py:2236(any)
    15437    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      648    0.003    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\lib\stride_tricks.py:206(broadcast_arrays)
